顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,19,2019-11-07 17:24:00,,たろう_,53.0,！ぼたもち！,14.0,あいちゃん,-21.0,夕陽の塵,-46.0
4位,26,2019-11-07 22:45:00,,！ぼたもち！,50.0,キラ＠,16.0,栗坊主,-18.0,Madai,-48.0
4位,18,2019-11-08 06:42:00,,ADC,42.0,！ぼたもち！,4.0,axiom,-16.0,回天,-30.0
4位,23,2019-11-08 09:14:00,,JJ001,45.0,レイト,6.0,可樂無雙,-17.0,！ぼたもち！,-34.0
4位,9,2019-11-08 11:48:00,,とまと１３,40.0,Henck,6.0,のぁ,-17.0,！ぼたもち！,-29.0
4位,21,2019-11-08 15:11:00,,桐須真冬先生,45.0,まむすて,8.0,！ぼたもち！,-14.0,jw,-39.0
4位,11,2019-11-09 08:58:00,,たりり,49.0,！ぼたもち！,6.0,薄毛野郎,-20.0,アイラ＠清楚,-35.0
4位,13,2019-11-09 09:10:00,,辻生斗,50.0,ooリュカoo,12.0,！ぼたもち！,-16.0,hantyan,-46.0
4位,14,2019-11-09 12:48:00,,宮崎梅田学園,44.0,コテコテ,9.0,！ぼたもち！,-21.0,羽奈,-32.0
4位,26,2019-11-09 13:27:00,,！ぼたもち！,55.0,カジュー,8.0,ez,-21.0,ジャイアンツ愛,-42.0
4位,39,2019-11-09 21:05:00,,梅之介,50.0,reremaru,13.0,まちる,-25.0,！ぼたもち！,-38.0
4位,30,2019-11-09 22:35:00,,ジェネリック高田,61.0,HAZEoyaj,8.0,ichiko,-23.0,！ぼたもち！,-46.0
4位,20,2019-11-09 23:05:00,,かとぺー,48.0,時田あまね,16.0,！ぼたもち！,-25.0,きゃべつたろう,-39.0
4位,27,2019-11-10 02:56:00,,Gardenia,42.0,ykooi124,8.0,！ぼたもち！,-17.0,Persist,-33.0
4位,19,2019-11-10 05:01:00,,スリーインワン,64.0,！ぼたもち！,6.0,takeshit,-16.0,ベトル,-54.0
4位,31,2019-11-10 13:24:00,,！ぼたもち！,50.0,春菊,11.0,卵かけ涅槃,-10.0,由良早生,-51.0
4位,25,2019-11-10 13:59:00,,！ぼたもち！,52.0,燃える毛魂,10.0,EsEmUr,-19.0,アキラゴルフ,-43.0
4位,35,2019-11-10 14:31:00,,千寿＠船橋,53.0,玉男,4.0,！ぼたもち！,-22.0,da-su-,-35.0
3位,,2019-11-10 22:22:00,,ぬまです。,35.0,！ぼたもち！,-2.0,二児パパ係長,-33.0,,
4位,,2019-11-10 22:32:00,,！ぼたもち！,49.0,二児パパ係長,10.0,暁月,-22.0,ぬまです。,-37.0
4位,,2019-11-10 22:59:00,,二児パパ係長,72.0,！ぼたもち！,16.0,ぬまです。,-35.0,暁月,-53.0
4位,15,2019-11-11 06:39:00,,たーた,62.0,！ぼたもち！,7.0,sergen,-28.0,vhm,-41.0
4位,15,2019-11-11 09:06:00,,Kengoroe,40.0,オーランsci,10.0,！ぼたもち！,-20.0,たこべい,-30.0
4位,36,2019-11-11 11:49:00,,とんち(^^),85.0,！ぼたもち！,-1.0,taye1428,-25.0,ノリノリ,-59.0
4位,16,2019-11-11 15:02:00,,3711calm,48.0,！ぼたもち！,7.0,MOWMOW,-22.0,デュパスキエ,-33.0
4位,8,2019-11-12 00:12:00,,とまと１３,45.0,！ぼたもち！,8.0,古川文菜,-19.0,korisu,-34.0
4位,15,2019-11-12 00:22:00,,日本国憲法,53.0,！ぼたもち！,11.0,bar,-9.0,kawapon,-55.0
4位,12,2019-11-12 00:40:00,,庄司顕仁,62.0,！ぼたもち！,11.0,c-clemon,-21.0,絶対積極,-52.0
4位,10,2019-11-12 06:36:00,,清水,44.0,比呂志,3.0,疾風の王,-17.0,！ぼたもち！,-30.0
4位,24,2019-11-12 07:52:00,,！ぼたもち！,46.0,まにあん,13.0,比佐志++,-19.0,PackMan,-40.0
4位,33,2019-11-12 08:35:00,,白猫はルルちゃん,72.0,エンジョイA太郎,2.0,！ぼたもち！,-27.0,ひなりぼん,-47.0
4位,22,2019-11-12 11:43:00,,！ぼたもち！,62.0,laMENT,7.0,老害爺,-15.0,AFAN,-54.0
4位,31,2019-11-12 17:39:00,,えすわい,47.0,hetakuso,7.0,stttttt,-13.0,！ぼたもち！,-41.0
4位,37,2019-11-12 23:09:00,,REOX,60.0,Shin0421,22.0,！ぼたもち！,-31.0,RainDog,-51.0
4位,23,2019-11-13 06:45:00,,レター,60.0,ueki6393,2.0,のなめー,-23.0,！ぼたもち！,-39.0
4位,26,2019-11-13 11:42:00,,gokuri,41.0,Pizaly,11.0,ekikyo,-17.0,！ぼたもち！,-35.0
4位,26,2019-11-14 11:43:00,,【秋水】,43.0,！ぼたもち！,10.0,愉佶庵,-11.0,えびゆう,-42.0
4位,40,2019-11-14 23:39:00,,÷2!!,82.0,！ぼたもち！,1.0,MJコンサル,-20.0,Kj,-63.0
4位,9,2019-11-15 09:03:00,,！ぼたもち！,43.0,ai_go_1,7.0,ボロちゃんだよ,-18.0,Ghoul,-32.0
4位,25,2019-11-15 11:47:00,,【秋水】,51.0,やぼんち,9.0,たかぽん69,-19.0,！ぼたもち！,-41.0
4位,37,2019-11-15 14:50:00,,！ぼたもち！,47.0,ゆうじん亭卍,14.0,kukkuri,-25.0,しらとりとごう,-36.0
4位,17,2019-11-15 17:29:00,,ジャイディ,64.0,courteus,7.0,アイムラビ二,-16.0,！ぼたもち！,-55.0
4位,38,2019-11-15 21:56:00,,！ぼたもち！,76.0,まなやね,2.0,昇龍１１０,-20.0,seaklion,-58.0
4位,23,2019-11-17 08:33:00,,紀楽,41.0,TRNJET,7.0,！ぼたもち！,-18.0,春丸,-30.0
