顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,13,2020-10-15 08:51:00,,タロン,41.0,masa22,7.0,！ぼたもち！,-16.0,はとはた,-32.0
4位,12,2020-10-16 08:09:00,,捲り狼,53.0,！ぼたもち！,0.0,jkllp,-20.0,ENTH,-33.0
4位,41,2020-10-17 00:13:00,,kskbe999,57.0,おさっちょ,7.0,！ぼたもち！,-14.0,だいだい５号,-50.0
4位,30,2020-10-18 00:57:00,,哀雛田,55.0,Libeccio,13.0,zakbrn14,-21.0,！ぼたもち！,-47.0
4位,24,2020-10-18 10:29:00,,ロードカナロア,54.0,！ぼたもち！,12.0,めろたかし,-19.0,けんしん７７,-47.0
4位,26,2020-10-18 11:52:00,,JK,41.0,アニピンデス,12.0,！ぼたもち！,-18.0,大和屋太郎,-35.0
4位,33,2020-10-18 20:04:00,,雪原の求道者,56.0,！ぼたもち！,13.0,モラリスト,-23.0,しんちゃんб,-46.0
4位,50,2020-10-18 23:27:00,,！ぼたもち！,59.0,フりオニール,9.0,湘南桜もち,-24.0,masai,-44.0
4位,25,2020-10-19 08:53:00,,ｐｊｓ好き,51.0,MASA6699,1.0,！ぼたもち！,-21.0,0218,-31.0
4位,31,2020-10-19 10:33:00,,レパード,57.0,タンタンメン,16.0,「久川颯」,-24.0,！ぼたもち！,-49.0
4位,25,2020-10-19 12:30:00,,urais,81.0,HIBIKIN,5.0,つなおじさん,-23.0,！ぼたもち！,-63.0
4位,10,2020-10-19 14:30:00,,海底のトシ,45.0,Mojiya,2.0,！ぼたもち！,-18.0,寝かせてください,-29.0
4位,8,2020-10-19 14:43:00,,！ぼたもち！,43.0,ーセイー,6.0,ひなのりく,-15.0,福ぴん2,-34.0
4位,16,2020-10-19 18:55:00,,キングミミック,52.0,！ぼたもち！,5.0,ロン！四暗刻です,-21.0,yoshi007,-36.0
4位,16,2020-10-19 19:42:00,,ジムサ,58.0,aoaof,10.0,η,-23.0,！ぼたもち！,-45.0
4位,15,2020-10-20 07:52:00,,itGma,42.0,鳴き麻雀,8.0,S.A.M,-16.0,！ぼたもち！,-34.0
4位,32,2020-10-21 12:34:00,,せふめ,57.0,うどん屋,8.0,！ぼたもち！,-23.0,激カラムーチョ,-42.0
4位,29,2020-10-24 00:25:00,,桜降る代に决闘を,43.0,sho1104,10.0,妙才,-17.0,！ぼたもち！,-36.0
4位,27,2020-10-25 02:03:00,,こーせ,57.0,seisann,4.0,！ぼたもち！,-23.0,莞,-38.0
4位,27,2020-10-25 02:43:00,,！ぼたもち！,42.0,Vespa,7.0,お庭番,-16.0,Noraneko,-33.0
4位,28,2020-10-25 10:48:00,,アニピンデス,50.0,マツリカ,12.0,朝倉さや☆,-9.0,！ぼたもち！,-53.0
4位,29,2020-10-25 13:35:00,,あおきんぐ,45.0,Fine555,12.0,こげぱん2,-12.0,！ぼたもち！,-45.0
4位,37,2020-10-26 12:38:00,,！ぼたもち！,45.0,こぉー,9.0,はたぴー,-22.0,お.が.あ,-32.0
4位,20,2020-10-28 23:03:00,,！ぼたもち！,54.0,汝有何疑,13.0,Yamaraaa,-24.0,桜パパ,-43.0
4位,34,2020-10-29 13:58:00,,風百パパ,61.0,呂仁,19.0,！ぼたもち！,-27.0,4麻ガチ勢,-53.0
4位,38,2020-11-01 15:05:00,,焼肉ジョージ,46.0,とどはる,16.0,！ぼたもち！,-18.0,リーづもといとい,-44.0
4位,31,2020-11-03 06:51:00,,soraki,54.0,AKB50,8.0,78万パワー,-16.0,！ぼたもち！,-46.0
4位,25,2020-11-03 17:35:00,,！ぼたもち！,57.0,Lemonkun,16.0,ドロンボーZ,-22.0,sho14,-51.0
4位,27,2020-11-03 18:18:00,,tbb,46.0,！ぼたもち！,3.0,菊地マトコ,-19.0,あくしお,-30.0
4位,25,2020-11-04 13:48:00,,斧,45.0,！ぼたもち！,14.0,koikoi,-20.0,むみむみぃ,-39.0
4位,,2020-11-04 22:11:00,,鈴菜,52.0,！ぼたもち！,7.0,あーーーーい,-23.0,yntps,-36.0
4位,41,2020-11-08 14:49:00,,すばじろう,49.0,とどはる,7.0,ねこぱんち,-17.0,！ぼたもち！,-39.0
4位,,2020-11-09 01:24:00,,あーーーーい,51.0,nashico,3.0,！ぼたもち！,-20.0,鈴菜,-34.0
4位,27,2020-11-12 23:08:00,,藤原じゅり,51.0,不如帰③,17.0,！ぼたもち！,-7.0,足技尊氏RX,-61.0
4位,4,2020-11-15 19:41:00,,紅茶の王様,66.0,NGIGIGIG,5.0,Kingpin,-15.0,！ぼたもち！,-56.0
4位,47,2020-11-15 19:50:00,,FUJIMAN,42.0,uuru3900,7.0,！ぼたもち！,-18.0,hi-Plain,-31.0
3位,,2020-11-17 23:31:00,,トキちゃん,51.0,北風,12.0,！ぼたもち！,-63.0,,
3位,,2020-11-18 00:08:00,,北風,53.0,トキちゃん,-3.0,！ぼたもち！,-50.0,,
3位,,2020-11-18 00:22:00,,トキちゃん,53.0,北風,10.0,！ぼたもち！,-63.0,,
4位,14,2020-11-19 22:14:00,,かるぴす08,52.0,絹を切り裂く,17.0,！ぼたもち！,-18.0,FMI,-51.0
4位,41,2020-11-21 21:40:00,,skubo7,53.0,！ぼたもち！,15.0,アニーロラク,-21.0,単機待ち,-47.0
4位,29,2020-11-26 12:55:00,,モリRON,56.0,！ぼたもち！,14.0,BIGY,-18.0,ぴぃ助,-52.0
4位,27,2020-11-27 01:06:00,,友人E,46.0,0218,7.0,！ぼたもち！,-21.0,jugoro,-32.0
4位,36,2020-11-28 14:56:00,,naooke,45.0,！ぼたもち！,9.0,yaf,-11.0,ef,-43.0
4位,34,2020-11-28 15:33:00,,ef,46.0,！ぼたもち！,4.0,メガネ拭きの憂鬱,-18.0,才疏學淺,-32.0
4位,41,2020-11-28 21:03:00,,孤高の空手家,63.0,バキの山,2.0,！ぼたもち！,-27.0,どら焼,-38.0
4位,21,2020-11-30 01:27:00,,ぱったん,70.0,！ぼたもち！,15.0,ケイ１３,-31.0,キサラギ上野,-54.0
4位,36,2020-11-30 03:32:00,,ズバッと小鳥遊,50.0,チャットモンキー,4.0,ねごなのだが！,-18.0,！ぼたもち！,-36.0
4位,31,2020-12-02 01:16:00,,いりばーそん,45.0,librasea,9.0,！ぼたもち！,-21.0,被遺忘者,-33.0
4位,30,2020-12-02 13:21:00,https://tenhou.net/3/?log=2020120214gm-0029-0000-b45ebd01,ⓝNAGA25,64.0,しおぽんず,5.0,kyt39,-23.0,！ぼたもち！,-46.0
4位,28,2020-12-03 11:24:00,,！ぼたもち！,50.0,七生夕,17.0,関西雀士会,-26.0,異邦人マリコ,-41.0
4位,30,2020-12-03 15:19:00,,！ぼたもち！,51.0,yukiwoz,13.0,ツバサ118,-20.0,badobase,-44.0
4位,39,2020-12-09 23:12:00,,藤林聖晴,53.0,恵里若七十代,16.0,！ぼたもち！,-27.0,-kel.,-42.0
4位,32,2020-12-11 20:14:00,,大横綱,43.0,！ぼたもち！,9.0,PANAINO,-18.0,愚形聴牌即リー,-34.0
4位,47,2020-12-13 14:19:00,,かいやん,55.0,旋律,9.0,スギゾー,-14.0,！ぼたもち！,-50.0
4位,27,2020-12-13 21:26:00,,！ぼたもち！,56.0,隠棲,3.0,おかもろん,-18.0,yukiwoz,-41.0
4位,26,2020-12-13 22:45:00,,HYFMFSW,76.0,グリフ,4.0,Uっち,-26.0,！ぼたもち！,-54.0
4位,31,2020-12-14 01:42:00,,鷲宮,54.0,いりばーそん,5.0,！ぼたもち！,-24.0,彼女の猫,-35.0
4位,23,2020-12-17 00:15:00,,顔もりもり,46.0,あんのさとし,13.0,pgame0,-23.0,！ぼたもち！,-36.0
4位,25,2020-12-17 15:27:00,,司馬,41.0,ux1,7.0,ねおじむ,-16.0,！ぼたもち！,-32.0
4位,36,2020-12-20 06:37:00,,北斗おじさん,57.0,！ぼたもち！,-2.0,Amichan,-22.0,stanly,-33.0
4位,47,2020-12-24 00:12:00,,！ぼたもち！,48.0,転職,15.0,tpdros,-23.0,あしたし,-40.0
4位,31,2020-12-29 19:25:00,,タルタニ,48.0,横山,10.0,MAKKEI,-20.0,！ぼたもち！,-38.0
3位,,2021-01-04 21:57:00,,トキちゃん,96.0,！ぼたもち！,-5.0,鈴菜,-91.0,,
3位,,2021-01-04 22:03:00,,トキちゃん,61.0,！ぼたもち！,1.0,鈴菜,-62.0,,
3位,,2021-01-04 22:17:00,,鈴菜,53.0,！ぼたもち！,11.0,トキちゃん,-64.0,,
3位,,2021-01-04 22:28:00,,！ぼたもち！,42.0,トキちゃん,-9.0,鈴菜,-33.0,,
3位,,2021-01-04 22:48:00,,！ぼたもち！,81.0,鈴菜,-19.0,トキちゃん,-62.0,,
3位,,2021-01-04 23:08:00,,トキちゃん,68.0,鈴菜,-2.0,！ぼたもち！,-66.0,,
3位,,2021-01-04 23:17:00,,鈴菜,72.0,トキちゃん,-9.0,！ぼたもち！,-63.0,,
3位,,2021-01-04 23:31:00,,鈴菜,98.0,トキちゃん,-30.0,！ぼたもち！,-68.0,,
4位,29,2021-01-05 14:31:00,,！ぼたもち！,51.0,kitamusi,13.0,vai,-12.0,松淳,-52.0
4位,28,2021-01-09 12:07:00,,！ぼたもち！,50.0,takigu34,7.0,zhuoyong,-21.0,Tierney,-36.0
4位,38,2021-01-11 02:19:00,,！ぼたもち！,42.0,tomokich,5.0,Shinpapa,-17.0,a1234567,-30.0
4位,41,2021-01-14 03:35:00,,銀河鉄道７７７,50.0,温冷両用,10.0,！ぼたもち！,-13.0,ぴよ,-47.0
4位,16,2021-01-14 04:35:00,,！ぼたもち！,41.0,oooo,6.0,職業、風2,-15.0,mikady08,-32.0
4位,41,2021-01-14 05:18:00,,ちか子,41.0,是政の夕陽,9.0,すぐる,-19.0,！ぼたもち！,-31.0
4位,38,2021-01-17 19:24:00,,！ぼたもち！,75.0,知ってた,-5.0,kane,-25.0,ランドレース,-45.0
4位,38,2021-01-20 14:13:00,,Ricky,48.0,ODJVer2,5.0,づらら,-21.0,！ぼたもち！,-32.0
4位,15,2021-01-21 08:33:00,https://tenhou.net/3/?log=2021012109gm-0029-0000-a9ab8c29,！ぼたもち！,100.0,種の起源,-4.0,mawile,-34.0,比嘉秀仁,-62.0
4位,24,2021-01-21 08:49:00,,kingyoya,44.0,！ぼたもち！,4.0,東村芽衣,-17.0,-chaso-,-31.0
4位,39,2021-01-31 16:59:00,,！ぼたもち！,61.0,下振れやろう,21.0,小泉チルドレン,-29.0,南斗無音拳,-53.0
4位,27,2021-01-31 20:41:00,,とらちゃん,68.0,牛タン＠しお味,3.0,qma,-18.0,！ぼたもち！,-53.0
4位,48,2021-02-01 02:53:00,,ななひら！,95.0,！ぼたもち！,-1.0,ターバン野口,-38.0,EDOJOE,-56.0
4位,35,2021-02-02 11:45:00,,タコ中のタコ,42.0,早稲田のドラロー,3.0,！ぼたもち！,-17.0,よわきのビイナス,-28.0
4位,31,2021-02-05 20:34:00,,枝雀,50.0,あめゅん,19.0,！ぼたもち！,-15.0,tampopo3,-54.0
4位,26,2021-02-08 07:34:00,,inoryo,52.0,tasso,1.0,！ぼたもち！,-20.0,リーズン,-33.0
4位,37,2021-02-11 10:25:00,,シス,63.0,スロース,8.0,けいいちゆみこ,-27.0,！ぼたもち！,-44.0
4位,29,2021-02-13 19:52:00,,9292,49.0,垢技師げる,2.0,ポンポコ商事,-19.0,！ぼたもち！,-32.0
4位,29,2021-02-13 20:37:00,,！ぼたもち！,49.0,ふじみやひろや,10.0,吉祥.yf,-14.0,mamarara,-45.0
4位,39,2021-02-14 15:14:00,,S.A.M,60.0,！ぼたもち！,16.0,WDDie,-28.0,恋心,-48.0
4位,30,2021-02-15 21:31:00,,ZENITH,50.0,！ぼたもち！,18.0,昔打った篠塚,-16.0,badobase,-52.0
4位,13,2021-02-16 07:47:00,,典平,43.0,！ぼたもち！,13.0,なげたろう,-14.0,ジャマールマレー,-42.0
4位,16,2021-02-17 11:34:00,,koji9172,46.0,こねこ,6.0,訓子府のクマ,-18.0,！ぼたもち！,-34.0
4位,9,2021-02-19 07:50:00,,ちありく,46.0,天羽みう,3.0,ペンカンサンワン,-18.0,！ぼたもち！,-31.0
4位,13,2021-02-20 20:12:00,,！ぼたもち！,41.0,いわなっちょα,7.0,スーパーわんこ,-17.0,gijgmks,-31.0
4位,7,2021-02-20 20:27:00,,kain,43.0,スカーレット,4.0,！ぼたもち！,-18.0,ちなつ,-29.0
4位,15,2021-02-22 08:00:00,,！ぼたもち！,48.0,３歩,14.0,ちありく,-18.0,K.Aegis,-44.0
4位,28,2021-02-23 23:42:00,,！ぼたもち！,59.0,あつし！,4.0,odakyu,-25.0,さくごっ！,-38.0
4位,28,2021-02-24 01:43:00,,！ぼたもち！,57.0,U(ユウ),13.0,doctor,-28.0,KYなやつ,-42.0
4位,21,2021-02-24 07:33:00,,じゃむぽっぱ,40.0,！ぼたもち！,7.0,清多関照,-15.0,o新居３,-32.0
4位,8,2021-02-24 07:56:00,,！ぼたもち！,54.0,先輩の風牌,7.0,ghb,-14.0,kain,-47.0
4位,11,2021-02-24 08:07:00,,かきフライ,46.0,ノムロック★,3.0,そーぷ延長,-19.0,！ぼたもち！,-30.0
4位,19,2021-02-24 15:43:00,,段原瑠々親衛隊,52.0,NIJIIRO,8.0,！ぼたもち！,-24.0,audrey,-36.0
4位,12,2021-02-25 11:29:00,,Heineken,66.0,しろうとA,10.0,！ぼたもち！,-25.0,soldier5,-51.0
4位,11,2021-02-25 11:48:00,,里木仁,56.0,ウォンレイ,4.0,！ぼたもち！,-20.0,ミニにタコ,-40.0
4位,13,2021-02-25 12:00:00,,小林アサヒ,52.0,choroino,3.0,！ぼたもち！,-19.0,たこ☆焼き,-36.0
4位,27,2021-02-26 23:58:00,,ImFormin,47.0,ぷんぷんぽんだよ,16.0,！ぼたもち！,-26.0,森林浴,-37.0
4位,29,2021-02-27 00:26:00,,ぺんたそ,55.0,ぷんぷんぽんだよ,16.0,轟轟丸,-16.0,！ぼたもち！,-55.0
4位,37,2021-02-28 20:18:00,,ジョナサン55,45.0,ジャイアンツ愛,4.0,！ぼたもち！,-17.0,遊び間専科,-32.0
4位,11,2021-03-01 08:12:00,,放銃率０％,57.0,！ぼたもち！,8.0,hittie,-23.0,吉田ドミネーター,-42.0
4位,15,2021-03-01 08:28:00,,こしむり,49.0,木村炊くや,13.0,裏ドラ無し,-13.0,！ぼたもち！,-49.0
4位,9,2021-03-02 11:02:00,,今更,54.0,！ぼたもち！,2.0,鉄腕アトム,-20.0,ユリス,-36.0
4位,7,2021-03-02 17:06:00,,！ぼたもち！,44.0,コータの兄,5.0,マイバラード,-17.0,なすび６,-32.0
4位,14,2021-03-02 17:16:00,,！ぼたもち！,47.0,chocola,16.0,風船まる,-22.0,まちよまちよ,-41.0
4位,5,2021-03-03 08:17:00,,たけだ,68.0,Matsuno,5.0,裏ドラ無し,-16.0,！ぼたもち！,-57.0
4位,15,2021-03-03 08:24:00,,たけだ,50.0,裏ドラ無し,5.0,！ぼたもち！,-21.0,馬英,-34.0
4位,28,2021-03-04 07:35:00,,うどん食べがち,46.0,シス,3.0,！ぼたもち！,-18.0,SHANK,-31.0
4位,17,2021-03-04 15:58:00,,ハートネット,51.0,百式観音,3.0,いわっしー,-21.0,！ぼたもち！,-33.0
4位,11,2021-03-05 07:30:00,,えるでろ,47.0,o新居３,6.0,福井亮,-20.0,！ぼたもち！,-33.0
4位,23,2021-03-05 07:42:00,,ピーカーブー,59.0,jansok,18.0,！ぼたもち！,-25.0,シキミ酸,-52.0
4位,48,2021-03-05 14:28:00,,あいかいと,41.0,Bondrive,5.0,！ぼたもち！,-15.0,jannki,-31.0
4位,34,2021-03-06 10:35:00,,kazz-k,55.0,せどなりあん,4.0,！ぼたもち！,-24.0,ＥＶＯＬ,-35.0
4位,27,2021-03-06 19:25:00,,nakei,44.0,！ぼたもち！,11.0,とりゅさん,-12.0,かネ,-43.0
4位,11,2021-03-06 20:27:00,,Hookah,47.0,炎のトレーダー,2.0,！ぼたもち！,-19.0,aedbeg,-30.0
4位,8,2021-03-08 11:17:00,,K.Aegis,54.0,！ぼたもち！,1.0,いわっしー,-21.0,別格の人,-34.0
4位,39,2021-03-10 07:28:00,,ふむへみらべる,63.0,HATANO！,4.0,！ぼたもち！,-26.0,ももも3146,-41.0
4位,43,2021-03-11 00:05:00,,！ぼたもち！,43.0,Defence,14.0,ビビ魔法使い,-15.0,てらふぉ。,-42.0
4位,39,2021-03-11 07:27:00,,yuki22,50.0,「ヒロ」40,20.0,髪留め,-22.0,！ぼたもち！,-48.0
4位,13,2021-03-12 11:04:00,,吉田ドミネーター,50.0,軽トラのタク,8.0,伊井克史,-21.0,！ぼたもち！,-37.0
4位,41,2021-03-13 07:26:00,,！ぼたもち！,57.0,ヘッドハンターズ,5.0,がぁちゅん,-21.0,ヨッシーZ,-41.0
4位,23,2021-03-14 07:59:00,,東風番長,45.0,！ぼたもち！,7.0,なきのゆう３世,-15.0,ハネスリー,-37.0
4位,39,2021-03-15 10:48:00,,！ぼたもち！,59.0,FUKUPIN,12.0,承服亭しがたい,-23.0,与神ひよ,-48.0
4位,12,2021-03-15 15:08:00,,ツクヨミ0316,66.0,軽トラのタク,8.0,雪月華,-20.0,！ぼたもち！,-54.0
4位,31,2021-03-18 10:40:00,,bbberkiy,55.0,はりー3141,13.0,ユーゴスラビア7,-26.0,！ぼたもち！,-42.0
4位,25,2021-03-19 02:21:00,,富田松田,44.0,CYFRA,6.0,uhei2,-18.0,！ぼたもち！,-32.0
4位,35,2021-03-19 15:42:00,,！ぼたもち！,70.0,kawakun,2.0,@hide,-24.0,にゃろめ8783,-48.0
4位,28,2021-03-20 07:56:00,,UNKO刑事,43.0,おしげ87,8.0,！ぼたもち！,-19.0,THANK,-32.0
4位,12,2021-03-22 08:13:00,,かまやつ11,44.0,Kaojdnfe,8.0,シキミ酸,-15.0,！ぼたもち！,-37.0
4位,41,2021-03-23 10:35:00,,水色,43.0,！ぼたもち！,4.0,千草台,-18.0,酒粕,-29.0
4位,14,2021-03-24 08:09:00,,トニー★彡,49.0,ノムロック★,14.0,！ぼたもち！,-23.0,元気一番,-40.0
4位,38,2021-03-26 10:54:00,,Oct17,53.0,！ぼたもち！,11.0,いけだたすく,-25.0,#Hisoka,-39.0
4位,31,2021-03-26 21:44:00,,！ぼたもち！,50.0,justman7,11.0,kashia,-20.0,一喜一憂,-41.0
4位,19,2021-03-27 07:56:00,,GIVER,50.0,！ぼたもち！,12.0,麻雀次郎,-26.0,ちみたち最高,-36.0
4位,31,2021-03-28 07:50:00,,半兵衛,49.0,！ぼたもち！,14.0,下振れやろう,-12.0,雪落,-51.0
4位,27,2021-03-29 13:22:00,,藤原じゅり,44.0,Miesque,12.0,AOT,-22.0,！ぼたもち！,-34.0
4位,27,2021-03-30 10:46:00,https://tenhou.net/3/?log=2021033011gm-0029-0000-1c6ac185,ⓝSuphx,48.0,Zam,10.0,！ぼたもち！,-17.0,1953,-41.0
4位,36,2021-03-31 07:35:00,,鈍痛,43.0,Else2,4.0,マサモ24,-18.0,！ぼたもち！,-29.0
4位,25,2021-03-31 22:23:00,,tsuchi,58.0,烈空坐,8.0,！ぼたもち！,-15.0,華五雷雲,-51.0
4位,33,2021-04-01 10:32:00,,！ぼたもち！,64.0,ちょいちょい,1.0,素敵な勘違い,-22.0,uyama,-43.0
4位,38,2021-04-02 07:40:00,,nobusato,56.0,首無し,20.0,しょぼんｎ,-26.0,！ぼたもち！,-50.0
4位,13,2021-04-06 14:30:00,,akibo528,42.0,SH,6.0,！ぼたもち！,-18.0,藤色のたぬき,-30.0
4位,12,2021-04-07 08:25:00,,！ぼたもち！,52.0,口ビン,6.0,101のかめ,-19.0,Hyatt,-39.0
4位,13,2021-04-08 14:50:00,,7@3203,42.0,しの,10.0,極小の運,-19.0,！ぼたもち！,-33.0
4位,18,2021-04-10 11:06:00,,passion,62.0,サンマ＠しげ軍団,4.0,！ぼたもち！,-20.0,ある沢,-46.0
4位,26,2021-04-12 20:37:00,,センター本田,44.0,une,9.0,！ぼたもち！,-17.0,AKB50,-36.0
4位,38,2021-04-14 15:21:00,,kashia,48.0,だんれいらん,12.0,後藤信康,-20.0,！ぼたもち！,-40.0
4位,9,2021-04-18 07:42:00,,！ぼたもち！,43.0,visualbo,8.0,帆立夏衣,-15.0,ゲス茂勝,-36.0
4位,34,2021-04-20 14:56:00,,チャイムくん,92.0,NoName++,-6.0,！ぼたもち！,-27.0,松淳,-59.0
4位,31,2021-04-24 09:49:00,,次鋒レオパルドン,45.0,！ぼたもち！,6.0,tehi0510,-20.0,いい見,-31.0
4位,24,2021-04-26 18:31:00,,！ぼたもち！,59.0,たつやました,5.0,真歌,-15.0,ＥＬＬＥ７,-49.0
4位,39,2021-04-28 14:45:00,,！ぼたもち！,55.0,HirokiK,3.0,平川純市,-18.0,モリRON,-40.0
4位,30,2021-04-30 14:35:00,,！ぼたもち！,57.0,MPC,2.0,saikyo,-24.0,ねづっち,-35.0
4位,31,2021-05-01 01:40:00,,！ぼたもち！,52.0,Kekayuta,5.0,えすとろげん,-19.0,雪落,-38.0
4位,28,2021-05-03 07:42:00,,！ぼたもち！,55.0,こ七,6.0,20210115,-15.0,ジョンの魂,-46.0
4位,23,2021-05-03 13:51:00,,shift,47.0,！ぼたもち！,13.0,タケやん,-17.0,孤独の鬱ね,-43.0
4位,32,2021-05-04 01:29:00,,エビカニホタテ,67.0,！ぼたもち！,3.0,伏黒甚爾,-27.0,幻想空空,-43.0
4位,34,2021-05-04 09:41:00,,苺牌,84.0,！ぼたもち！,4.0,ロロトマシ,-37.0,浄拭屋一,-51.0
4位,30,2021-05-04 13:58:00,,咲＠監督,42.0,k-2,12.0,！ぼたもち！,-10.0,ぎーねー,-44.0
4位,35,2021-05-05 09:41:00,,！ぼたもち！,39.0,あみぽん,7.0,凛777,-18.0,紅茶の王様,-28.0
4位,33,2021-05-05 14:56:00,,！ぼたもち！,51.0,blueblue,12.0,Kingpin,-20.0,ゆう＠,-43.0
4位,44,2021-05-07 14:29:00,,DreamPop,47.0,！ぼたもち！,15.0,midori章魚,-25.0,sss1933,-37.0
4位,29,2021-05-09 23:44:00,,野村サッチー,48.0,できっこない,8.0,！ぼたもち！,-17.0,TonyLama,-39.0
4位,30,2021-05-11 19:01:00,,PayFor,41.0,！ぼたもち！,10.0,グラス最強,-12.0,フユカセツ,-39.0
4位,7,2021-05-11 22:57:00,,宮本伊織,48.0,不磨の大典,6.0,頼む、ドラ！,-22.0,！ぼたもち！,-32.0
4位,35,2021-05-15 09:30:00,,スロース,50.0,！ぼたもち！,14.0,三四郎,-22.0,たまごおじさん,-42.0
4位,32,2021-05-15 18:55:00,,！ぼたもち！,67.0,モティ,9.0,(=^ω^=),-30.0,スピードキング,-46.0
4位,19,2021-05-15 20:20:00,,台北直直口ン,59.0,狂犬マック,11.0,！ぼたもち！,-28.0,漆黒Ｓense,-42.0
4位,30,2021-05-16 14:56:00,,tatsu118,48.0,プエルトリコ,13.0,Nツチイ,-17.0,！ぼたもち！,-44.0
4位,36,2021-05-18 14:27:00,,二天二流,45.0,！ぼたもち！,8.0,pattycat,-14.0,NLGMJSSZ,-39.0
4位,30,2021-05-18 23:34:00,,！ぼたもち！,55.0,ひろぴぃぃぃ,15.0,x酉酉,-15.0,nabiken2,-55.0
4位,20,2021-05-20 01:40:00,,！ぼたもち！,47.0,うぃしゅ,18.0,氷見ぶりちゃん,-11.0,たなかデス,-54.0
4位,21,2021-05-20 13:19:00,,ドラゴンHIDE,58.0,！ぼたもち！,6.0,ヒールホールド,-24.0,おかもろん,-40.0
4位,39,2021-05-22 09:42:00,,Kekayuta,61.0,！ぼたもち！,3.0,カリオストロ伯爵,-19.0,AlumiNa,-45.0
4位,34,2021-05-24 14:34:00,,にーよんまる,60.0,ぴよのすけ,1.0,！ぼたもち！,-22.0,ゆーFE,-39.0
4位,19,2021-05-25 00:30:00,,学大ボウヤユウ,53.0,ろんぐすとれんじ,11.0,！ぼたもち！,-12.0,デコデコクールS,-52.0
4位,34,2021-05-25 01:50:00,,堕姫,54.0,drci,9.0,！ぼたもち！,-22.0,mison551,-41.0
4位,24,2021-05-25 10:52:00,,鉄兵,62.0,！ぼたもち！,10.0,天才麻将杏杏,-21.0,激カラムーチョ,-51.0
4位,37,2021-05-25 11:18:00,,鳴き虫くん,54.0,bunbun24,10.0,！ぼたもち！,-21.0,かことん,-43.0
4位,36,2021-05-25 14:24:00,,エジリズム,49.0,あど,19.0,ポカリ490,-20.0,！ぼたもち！,-48.0
4位,27,2021-05-27 02:44:00,,hideki,49.0,チキンかれー,15.0,！ぼたもち！,-19.0,まこたろす,-45.0
4位,22,2021-05-28 00:33:00,,RMEOOKOK,45.0,oniyoshi,4.0,いっしん,-19.0,！ぼたもち！,-30.0
4位,29,2021-05-28 00:56:00,,！ぼたもち！,49.0,gilbey's,12.0,しゅうよん,-24.0,テクムセ,-37.0
4位,36,2021-05-28 01:53:00,,コータの兄,45.0,コムケイの嫁,5.0,！ぼたもち！,-16.0,ぱったん,-34.0
4位,13,2021-05-28 08:26:00,,浪漫ティック,41.0,ンゴゴーレム,8.0,！ぼたもち！,-15.0,tarou123,-34.0
4位,31,2021-05-28 14:18:00,https://tenhou.net/3/?log=2021052815gm-0029-0000-e1e6d28a,学大ボウヤユウ,63.0,！ぼたもち！,3.0,ミラクルK,-19.0,swanboat,-47.0
4位,32,2021-05-29 07:30:00,,三森すずこ,68.0,@るぅは,6.0,わかめかるぼ,-26.0,！ぼたもち！,-48.0
4位,15,2021-05-29 08:11:00,,ё爆打,49.0,野晒し,11.0,！ぼたもち！,-23.0,亜熱帯熱帯,-37.0
4位,35,2021-05-30 05:58:00,,JUNKIES,53.0,サーモンなのか,7.0,どら焼,-17.0,！ぼたもち！,-43.0
4位,28,2021-05-30 12:54:00,,草薙素夫,48.0,akb0000,13.0,かなぱ,-20.0,！ぼたもち！,-41.0
4位,30,2021-05-30 15:12:00,,pomusako,59.0,！ぼたもち！,18.0,harp.s,-26.0,tyui,-51.0
4位,17,2021-05-30 16:24:00,,yaku5589,43.0,ビニールシャカ男,4.0,jansok,-17.0,！ぼたもち！,-30.0
4位,33,2021-05-31 14:36:00,,！ぼたもち！,60.0,jmdtf,3.0,mkwizard,-19.0,松淳,-44.0
4位,30,2021-05-31 19:12:00,https://tenhou.net/3/?log=2021053120gm-0029-0000-ac499f69,yyh1es,70.0,！ぼたもち！,39.0,藤宮千紗,-22.0,いがさん,-87.0
4位,9,2021-06-02 08:24:00,,ゆうたさん,50.0,madogiwa,5.0,！ぼたもち！,-22.0,AYOYO,-33.0
4位,21,2021-06-02 21:27:00,,エセ稲葉,53.0,！ぼたもち！,8.0,RB10,-23.0,gogodesu,-38.0
4位,32,2021-06-02 21:58:00,,ＫＯＴＹＯＵ,54.0,kisarara,23.0,テンパイ坂先生,-30.0,！ぼたもち！,-47.0
4位,27,2021-06-03 01:37:00,,暗黒戦士,53.0,単機待ち,3.0,！ぼたもち！,-21.0,片山五郎兵衛,-35.0
4位,32,2021-06-03 14:35:00,,絶学無為の閑道人,50.0,Pentagon,10.0,大白哥,-13.0,！ぼたもち！,-47.0
4位,13,2021-06-03 22:38:00,,天下無双,67.0,chantomo,5.0,38383838,-19.0,！ぼたもち！,-53.0
4位,30,2021-06-04 14:04:00,,ワカメハウス,51.0,【梅】,6.0,hikiko,-23.0,！ぼたもち！,-34.0
4位,23,2021-06-04 14:36:00,,Tetsuya3,50.0,ちょいちょい,8.0,ありんこ@キッド,-23.0,！ぼたもち！,-35.0
